City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date
Ust'-Omchug,61.15,149.6333,5.63,97,100,4.38,1634994036
Mayo,38.8876,-76.5119,59.13,88,100,1.99,1634994036
Melsomvik,59.2239,10.3447,53.26,48,0,2.3,1634994038
Kaitangata,-46.2817,169.8464,49.01,94,100,5.06,1634993516
Carmo do Cajuru,-20.1842,-44.7711,78.58,59,0,8.19,1634994039
Dubbo,-32.25,148.6167,68.13,49,17,16.11,1634993541
Havelock,34.8791,-76.9013,65.93,95,43,4.0,1634993479
Comodoro Rivadavia,-45.8667,-67.5,55.26,19,0,21.85,1634993495
Laas,46.6166,10.7002,59.74,29,22,0.81,1634993631
Cape Town,-33.9258,18.4232,67.26,56,20,7.0,1634993185
Sept-Îles,50.2001,-66.3821,47.05,98,90,4.0,1634993630
La Ronge,55.1001,-105.2842,31.91,86,13,13.49,1634994041
Along,28.1667,94.7667,68.52,87,0,1.05,1634994041
Vostok,46.4856,135.8833,31.44,85,0,5.88,1634993652
Yulara,-25.2406,130.9889,78.64,24,0,12.66,1634993313
Bridlington,54.0831,-0.1919,56.86,68,100,19.08,1634994042
Salinas,36.6777,-121.6555,55.0,80,66,1.43,1634993918
Hermanus,-34.4187,19.2345,58.8,72,94,17.83,1634993514
Cherskiy,68.75,161.3,-6.54,100,100,1.12,1634993526
Pinega,64.7001,43.3936,26.15,95,62,3.36,1634994042
Abu Samrah,35.3029,37.1841,78.12,27,0,3.31,1634994043
Okhotsk,59.3833,143.3,18.55,80,100,9.86,1634994043
Bluff,-46.6,168.3333,52.5,87,100,4.29,1634993470
Clyde River,70.4692,-68.5914,22.14,89,96,7.67,1634993528
Isangel,-19.55,169.2667,71.71,88,27,3.44,1634993620
Port-Gentil,-0.7193,8.7815,78.15,79,100,6.71,1634994044
Abu Dhabi,24.4667,54.3667,91.42,55,0,11.5,1634993581
Monrovia,6.3005,-10.7969,87.57,78,30,8.75,1634994045
Meulaboh,4.1363,96.1285,78.71,85,93,1.86,1634993504
Ahipara,-35.1667,173.1667,61.81,98,100,6.17,1634993534
Kattivākkam,13.2167,80.3167,87.89,70,47,8.01,1634994045
Qaanaaq,77.484,-69.3632,-1.03,61,0,7.92,1634993516
Atbasar,51.8,68.3333,52.16,59,28,19.98,1634994046
Clearlake,38.9582,-122.6264,49.89,73,95,3.31,1634994046
Saint George,37.1041,-113.5841,63.36,33,1,0.0,1634993476
Kemijärvi,66.7131,27.4306,28.18,87,100,4.27,1634994047
Codrington,-38.2667,141.9667,49.42,88,3,10.38,1634993515
Aracati,-4.5617,-37.7697,88.54,53,90,13.04,1634993845
Inírida,3.8653,-67.9239,81.34,78,73,2.24,1634994048
Kysyl-Syr,63.8986,122.7617,29.62,96,100,4.16,1634994049
Lavrentiya,65.5833,-171.0,26.38,83,100,10.83,1634993494
Teófilo Otoni,-17.8575,-41.5053,70.68,88,100,3.29,1634994041
Marinette,45.1,-87.6307,43.16,86,23,8.32,1634994049
Kavieng,-2.5744,150.7967,83.05,75,46,16.55,1634993549
Mahébourg,-20.4081,57.7,80.89,69,40,13.8,1634993553
Cayenne,4.9333,-52.3333,86.09,76,40,5.75,1634993491
Torbay,47.6666,-52.7314,58.87,97,100,10.0,1634993513
Road Town,18.4167,-64.6167,85.19,78,75,8.05,1634993518
Gbadolite,4.2833,21.0167,88.95,53,51,4.83,1634994051
Butaritari,3.0707,172.7902,82.49,68,100,14.07,1634993478
Albany,42.6001,-73.9662,42.03,85,100,2.68,1634993474
Harstad,68.799,16.5293,36.59,100,90,8.37,1634994051
Keflavik,64.0049,-22.5624,47.52,93,75,17.27,1634994052
Laguna,38.421,-121.4238,57.02,91,1,3.44,1634994052
Fortuna,40.5982,-124.1573,55.36,71,90,1.01,1634993505
Huarmey,-10.0681,-78.1522,64.24,82,64,7.96,1634994052
Port Hardy,50.6996,-127.4199,46.81,92,100,11.77,1634994015
Lukuledi,-10.5667,38.8,98.49,19,34,3.94,1634994053
Olafsvik,64.8945,-23.7142,45.9,89,99,12.91,1634993598
San Jose de Guanipa,8.8872,-64.1651,76.82,81,100,12.71,1634994053
Huntington,38.4193,-82.4452,53.94,88,40,5.75,1634994040
Arraial do Cabo,-22.9661,-42.0278,76.96,73,40,19.57,1634993568
Bandundu Province,-3.3167,17.3667,86.97,65,30,2.59,1634994054
Urtenen,47.0267,7.5008,57.81,61,0,3.0,1634994055
Rock Sound,24.9,-76.2,81.54,77,99,16.44,1634994033
Gushikawa,26.3544,127.8686,72.63,64,23,12.73,1634994055
Bambous Virieux,-20.3428,57.7575,80.85,69,40,13.8,1634993495
Te Anau,-45.4167,167.7167,50.34,93,100,1.25,1634993517
Saskatoon,52.1168,-106.6345,32.16,86,90,10.0,1634994054
Stromness,58.965,-3.296,50.25,88,100,20.0,1634994057
Kiryat Gat,31.61,34.7642,78.4,26,0,15.17,1634993508
Norman Wells,65.282,-126.8329,35.64,80,20,10.36,1634993260
Nabire,-3.3667,135.4833,77.29,90,91,1.5,1634994058
Pierre,44.3683,-100.351,37.85,88,100,1.99,1634993862
The Valley,18.217,-63.0578,85.1,69,20,16.11,1634993403
Māllūr,11.55,78.1333,79.05,81,93,2.8,1634994059
Acaraú,-2.8856,-40.12,88.07,56,83,13.56,1634994060
Thompson,55.7435,-97.8558,28.56,93,90,3.44,1634993361
Airai,-8.9266,125.4092,63.86,89,99,1.88,1634993563
George Town,5.4112,100.3354,84.13,76,20,0.0,1634994060
Udachny,66.4167,112.4,26.85,84,65,18.32,1634994061
Shenjiamen,29.9576,122.298,65.35,54,100,12.06,1634993622
Kapaa,22.0752,-159.319,75.52,95,20,13.8,1634993465
Sittwe,20.15,92.9,79.61,77,100,6.24,1634994063
Pāsighāt,28.0667,95.3333,71.98,92,0,2.98,1634994064
Pangnirtung,66.1451,-65.7125,26.38,94,100,3.44,1634994064
Bengkulu,-3.8004,102.2655,78.64,83,100,2.51,1634993492
Cairo,30.0626,31.2497,81.36,50,75,12.66,1634994063
Green Valley,31.8543,-110.9937,65.25,39,0,6.64,1634994065
Honiara,-9.4333,159.95,77.49,82,8,4.83,1634994065
Naze,28.3667,129.4833,67.21,77,70,17.94,1634993500
Florø,61.5996,5.0328,45.23,76,75,13.8,1634994066
Upernavik,72.7868,-56.1549,17.73,85,75,5.66,1634993526
Mutoko,-17.397,32.2268,94.1,16,30,7.61,1634994067
Waipawa,-41.4122,175.5153,52.43,92,75,6.11,1634994067
Kruisfontein,-34.0033,24.7314,63.91,51,2,30.74,1634993519
Isiro,2.7739,27.616,82.36,60,100,2.33,1634993658
Sitka,57.0531,-135.33,43.43,92,100,7.94,1634993594
Novyy Urgal,51.0736,132.5642,29.05,93,4,0.49,1634994069
Caibarién,22.5206,-79.4669,77.81,84,88,6.44,1634994070
Tiznit Province,29.5833,-9.5,77.5,38,0,7.96,1634993488
Kiruna,67.8557,20.2251,20.32,79,6,6.91,1634993471
Camacupa,-12.0167,17.4833,87.48,34,46,2.86,1634994071
Sechura,-5.5569,-80.8222,66.74,78,100,11.39,1634994071
Oni,42.5794,43.4425,60.49,60,0,3.51,1634994072
Camocim,-2.9022,-40.8411,87.46,57,100,9.44,1634993834
Huilong,31.8111,121.655,65.93,58,100,7.85,1634994018
Spring Valley,36.108,-115.245,69.19,40,75,5.01,1634993464
Sharjah city,25.3573,55.4033,91.69,52,0,11.5,1634993943
Yeppoon,-23.1333,150.7333,76.78,84,97,2.62,1634994073
Ola,59.5833,151.2833,25.63,73,95,15.75,1634994074
Kimberley,-28.7323,24.7623,75.27,13,0,26.69,1634994074
Alofi,-19.0595,-169.9187,71.49,68,3,8.05,1634993627
Bredasdorp,-34.5322,20.0403,57.27,59,79,21.9,1634994075
Port Elizabeth,-33.918,25.5701,70.09,49,0,31.07,1634993511
Itarema,-2.9248,-39.9167,88.57,54,88,13.65,1634994075
Samarai,-10.6167,150.6667,80.58,83,100,13.78,1634994076
Poso,-1.3959,120.7524,77.14,87,100,3.62,1634994076
Kavaratti,10.5669,72.642,82.38,74,100,3.22,1634994076
Marsh Harbour,26.5412,-77.0636,78.28,82,100,9.04,1634994013
Roald,62.5833,6.1333,46.33,70,40,11.5,1634994077
Eureka,40.8021,-124.1637,55.63,89,100,8.99,1634993780
Sefton,-43.25,172.6667,54.97,93,93,3.27,1634994078
Ruidoso,33.3317,-105.673,53.92,64,1,8.05,1634994080
Reitz,-27.8014,28.4273,81.19,9,0,19.95,1634994081
Dingle,10.9995,122.6711,74.98,95,100,5.88,1634993536
Tateyama,34.9833,139.8667,58.01,59,18,11.9,1634994081
Mago,53.2514,140.1822,26.62,100,63,2.42,1634994082
Ulaangom,49.9811,92.0667,36.75,61,100,2.1,1634994071
Cap Malheureux,-19.9842,57.6142,78.48,71,3,7.0,1634994083
Esim,4.8699,-2.2405,82.71,71,98,7.09,1634993627
East London,-33.0153,27.9116,67.14,63,0,23.02,1634993588
Raja,8.4596,25.678,89.69,48,100,1.03,1634994083
Mitchell,43.7094,-98.0298,35.11,90,100,7.0,1634994084
Olinda,-8.0089,-34.8553,85.73,66,20,10.36,1634993607
Alyangula,-13.8483,136.4192,78.67,94,75,3.44,1634994084
Ancud,-41.8697,-73.8203,52.43,78,14,8.32,1634993502
Dikson,73.5069,80.5464,10.96,88,100,14.14,1634993501
Rūdbār,30.15,62.6,67.1,12,0,8.39,1634994085
Uttarkāshi,30.7333,78.45,60.49,87,0,4.38,1634994085
Marawi,7.9986,124.2928,68.65,94,100,4.7,1634994086
Nioro,13.35,-15.75,84.92,43,100,3.06,1634993621
Mpika,-11.8343,31.4529,91.38,19,5,11.9,1634994086
Hofn,64.2539,-15.2082,44.94,96,100,3.38,1634994087
Cañete,-37.8,-73.4,51.94,64,90,1.77,1634994087
Balkhash,46.844,74.9804,43.7,56,66,11.03,1634994087
Uşak Province,38.5,29.4167,66.92,28,0,5.91,1634994088
Umba,66.6871,34.3429,30.72,83,100,9.26,1634993575
Gijang,35.2442,129.2139,59.04,57,14,5.06,1634994088
Merauke,-8.4667,140.3333,79.38,73,38,14.63,1634994089
Broome,42.2506,-75.833,43.81,86,90,1.01,1634993544
Zhuhai,22.2769,113.5678,70.99,77,40,17.27,1634994089
Berbera,10.4396,45.0143,87.37,52,6,15.41,1634994090
Broken Hill,-31.95,141.4333,58.55,34,0,19.37,1634994091
Belmonte,-15.8631,-38.8828,76.98,88,100,9.28,1634994091
Harbour Breton,47.4833,-55.7983,55.17,99,100,11.1,1634994091
Lagoa,39.05,-27.9833,67.28,73,4,11.01,1634993537
Inverness,57.4791,-4.224,54.84,76,40,10.36,1634994092
San Cristobal,7.7669,-72.225,74.62,70,50,3.2,1634994082
Vila Franca do Campo,37.7167,-25.4333,72.01,76,46,5.39,1634993618
Narsaq,60.9167,-46.05,35.82,92,100,3.51,1634993330
Taoudenni,22.6783,-3.9836,91.6,16,0,3.15,1634994093
Soyo,-6.1349,12.3689,82.42,71,56,12.12,1634994093
Tenamaxtlán,20.2167,-104.1667,61.81,87,100,3.15,1634994093
Barra do Bugres,-15.0725,-57.1811,90.27,51,77,7.76,1634994094
Lüderitz,-26.6481,15.1594,63.07,72,57,12.19,1634993568
Berdigestyakh,62.0989,126.6992,30.76,92,100,3.06,1634994094
Muros,42.7762,-9.0603,64.99,79,100,3.6,1634993550
Saint Paul Harbor,57.79,-152.4072,41.76,88,100,12.1,1634993520
Mineros,-17.1167,-63.2333,92.12,44,5,15.95,1634994095
Guilin,25.2819,110.2864,60.91,75,8,5.35,1634993796
Nikolskoye,59.7035,30.7861,40.39,88,100,3.6,1634993540
Garden City,42.3256,-83.331,46.31,92,100,6.06,1634994065
Nome,64.5011,-165.4064,31.1,82,100,5.57,1634993593
Banda Aceh,5.5577,95.3222,80.37,81,100,4.9,1634993523
Evensk,61.95,159.2333,10.78,73,99,8.3,1634994096
Faanui,-16.4833,-151.75,77.49,73,90,3.11,1634993543
Mokhsogollokh,61.4681,128.9203,31.95,85,100,5.57,1634993577
Padre Paraíso,-17.0742,-41.4844,69.01,87,100,2.91,1634994097
Byron Bay,-28.65,153.6167,75.06,91,12,15.23,1634994098
São João da Barra,-21.6403,-41.0511,77.09,79,65,8.57,1634993513
Mattru,7.6244,-11.8332,85.35,71,62,4.27,1634994099
Souillac,-20.5167,57.5167,80.98,69,40,13.8,1634993584
Ust'-Kut,56.7938,105.7672,37.89,88,80,6.35,1634993856
Dezful,32.3811,48.4058,89.35,11,0,4.16,1634993995
Gamba,-2.65,10.0,80.01,74,82,8.52,1634994101
Katsuura,35.1333,140.3,58.1,58,0,14.81,1634993506
Lamballe,48.4676,-2.5144,58.35,67,5,3.0,1634994103
Pacific Grove,36.6177,-121.9166,54.61,89,1,1.01,1634993632
La Mesa,32.7678,-117.0231,61.59,87,90,1.99,1634993887
Ngunguru,-35.6167,174.5,61.16,96,100,24.32,1634994104
Villa Carlos Paz,-31.4241,-64.4978,58.39,91,100,4.0,1634994105
Jensen Beach,27.2545,-80.2298,81.05,93,40,5.99,1634994105
Bilma,18.6853,12.9164,98.71,9,2,12.28,1634994105
Hirara,24.8,125.2833,76.41,61,82,19.15,1634994106
Bud,39.447,-86.1758,47.55,97,6,4.68,1634994107
Osypenko,46.9136,36.8253,55.83,63,100,7.85,1634994107
Saskylakh,71.9167,114.0833,3.42,95,100,11.88,1634994108
Darhan,49.4867,105.9228,38.95,44,0,0.89,1634994108
Egvekinot,66.3167,-179.1667,9.14,83,100,7.87,1634994108
Tay Ninh,11.3,106.1,77.92,88,100,7.18,1634994109
Viedma,-40.8135,-62.9967,62.65,27,100,29.15,1634994109
Rio Grande,-32.035,-52.0986,69.91,78,100,6.08,1634994110
Ponta Delgada,37.7333,-25.6667,72.32,78,40,9.22,1634994110
Vodnyy,63.5046,53.4095,30.54,94,100,7.0,1634994111
Rawson,-43.3002,-65.1023,56.21,30,6,25.93,1634994111
Lewiston,44.1003,-70.2148,46.74,79,46,3.56,1634994112
Chimoré,-16.9833,-65.1333,89.6,48,5,5.46,1634994117
Mgandu,-5.95,34.1333,91.18,18,65,7.9,1634994118
Gēdo,9.0167,37.45,64.92,51,52,5.17,1634994118
Methóni,36.8197,21.7049,78.66,68,15,9.17,1634994119
Tshikapa,-6.4167,20.8,95.4,35,85,1.01,1634994119
Srīvardhan,18.0333,73.0167,79.23,75,5,9.66,1634994120
Karratha,-20.7377,116.8463,81.72,54,69,7.56,1634993539
Shibetsu,43.659,145.132,41.63,80,5,8.55,1634994121
Bandarbeyla,9.4942,50.8122,80.73,65,7,12.59,1634993601
São Félix do Xingu,-6.6447,-51.995,82.27,76,100,0.78,1634994122
Mananjary,-21.2167,48.3333,80.13,73,38,8.28,1634994123
Koumac,-20.5667,164.2833,72.21,85,2,11.16,1634994124
Bonthe,7.5264,-12.505,83.7,73,36,8.05,1634994124
Östersund,63.1792,14.6357,36.61,87,20,5.75,1634994094
Bria,6.5423,21.9863,89.1,50,56,2.51,1634994124
Zhob,31.3411,69.4481,68.11,9,0,4.47,1634994125
Kamenka,51.3223,42.7678,55.29,60,100,7.99,1634993838
Bhalwal,32.272,72.9043,69.1,65,0,14.47,1634994126
Auki,-8.7676,160.7034,75.58,82,6,5.12,1634994127
Yangi Marg`ilon,40.4272,71.7189,54.82,32,0,2.3,1634993605
Erzin,36.9559,36.2,88.32,27,0,5.39,1634994127
Atar,20.5169,-13.0499,93.25,17,0,0.0,1634993568
Nakamura,32.9833,132.9333,52.07,75,0,3.47,1634994128
Puerto Escondido,15.85,-97.0667,74.23,83,90,3.44,1634993594
Anadyr,64.75,177.4833,5.5,85,40,11.18,1634994129
Punakha,27.5837,89.8598,65.44,93,100,1.28,1634994129
Poum,-20.2333,164.0167,74.46,79,0,16.84,1634993586
Longyearbyen,78.2186,15.6401,21.04,79,20,3.44,1634993539
San Patricio,28.017,-97.5169,74.89,85,100,5.26,1634994130
Leningradskiy,69.3833,178.4167,6.91,86,100,8.7,1634993409
Altamira,-3.2033,-52.2064,77.36,86,90,3.51,1634994028
Mon,26.75,95.1,66.38,96,50,2.86,1634994131
Ostrovnoy,68.0531,39.5131,32.81,67,100,14.25,1634994131
Vaitape,-16.5167,-151.75,77.61,72,90,2.8,1634994131
Nara,34.6851,135.8049,60.08,54,0,2.71,1634993644
Chui,-33.6971,-53.4616,64.58,59,100,1.03,1634994132
Skibbereen,51.55,-9.2667,57.0,92,100,23.58,1634994132
Trelew,-43.249,-65.3051,58.37,19,4,26.35,1634994133
Lumeje,-11.55,20.7833,89.13,32,85,8.81,1634994133
Hobyo,5.3505,48.5268,82.51,66,16,12.41,1634993636
Batemans Bay,-35.7167,150.1833,63.1,94,99,11.16,1634994134
Necochea,-38.5473,-58.7368,61.03,60,98,10.74,1634993547
Amapá,1.0,-52.0,86.59,58,97,3.78,1634994134
Marabu,4.4148,114.0089,78.26,86,100,3.13,1634994134
Antalaha,-14.9003,50.2788,80.74,74,19,6.6,1634994136
Aklavik,68.2191,-135.0107,25.63,94,66,8.52,1634993600
Inhambane,-23.865,35.3833,80.51,65,0,18.88,1634994137
Camaná,-16.6228,-72.7111,64.31,72,52,9.04,1634994137
Bathsheba,13.2167,-59.5167,86.61,62,40,23.02,1634993599
Callaguip,18.0714,120.4867,80.53,76,100,8.93,1634994137
Kitovo,56.8659,41.2825,44.78,69,85,10.27,1634994138
Port Hedland,-20.3167,118.5667,78.85,61,5,8.05,1634994138
Puerto Padre,21.195,-76.6028,78.67,80,30,4.5,1634994138
Surgut,61.25,73.4167,44.78,93,75,13.42,1634994139
Ust-Tsilma,65.441,52.1498,28.65,87,13,6.87,1634994139
Mahabalipuram,12.6264,80.1722,87.85,71,100,8.32,1634994140
Vigrestad,58.5667,5.7,50.59,60,85,6.4,1634994140
Akhaldaba,41.654,42.1516,61.83,63,0,3.24,1634994141
Cockburn Town,21.4612,-71.1419,83.23,70,32,19.95,1634993559
Dhidhdhoo,6.8833,73.1,81.79,78,100,14.81,1634993552
Presidencia Roque Sáenz Peña,-26.7852,-60.4388,74.68,82,12,6.96,1634994143
Misratah,32.3754,15.0925,85.33,37,94,18.41,1634994143
Nizwá,22.9333,57.5333,90.55,24,29,8.77,1634993448
Peterhead,57.5058,-1.7981,53.46,79,100,27.38,1634994143
Sørland,67.667,12.6934,32.07,50,100,7.81,1634994144
Labuhan,-6.8844,112.2051,82.29,73,100,4.97,1634994144
Champerico,14.3,-91.9167,84.34,88,93,6.4,1634994144
Ondjiva,-17.0667,15.7333,96.26,10,32,6.6,1634994145
Zambezi,-13.5432,23.1047,88.92,34,64,1.45,1634994146
Saldanha,-33.0117,17.9442,62.2,61,3,14.99,1634994146
Marabá,-5.3686,-49.1178,84.47,66,90,4.76,1634994147
Husavik,66.0449,-17.3389,41.18,94,100,3.96,1634994147
Kerrville,30.0474,-99.1403,69.55,94,90,4.61,1634994148
Zabid,14.1951,43.3152,90.84,49,34,12.1,1634994148
Baruun-Urt,46.6806,113.2792,38.59,39,100,8.05,1634994149
Kon Tum,14.35,108.0,67.75,99,100,4.38,1634994149
College,64.8569,-147.8028,34.29,88,97,2.51,1634994150
Constitución,-35.3333,-72.4167,54.72,56,11,9.24,1634993614
Kita,13.0349,-9.4895,88.45,54,47,4.38,1634994150
Kurumkan,54.3,110.3,34.52,69,99,3.24,1634994151
Sovetskiy,61.3614,63.5842,40.73,88,100,11.16,1634994151
Cairns,-16.9167,145.7667,76.95,85,40,1.14,1634994151
Nirgua,10.1553,-68.5663,75.29,74,45,0.85,1634994152
Guasdualito,7.2424,-70.7324,75.96,92,37,6.08,1634994152
Ukiah,39.1502,-123.2078,52.52,95,90,0.0,1634994153
Yar-Sale,66.8333,70.8333,30.47,98,100,9.55,1634994153
Southbridge,42.0751,-72.0334,51.82,81,92,1.99,1634994153
Pangody,65.85,74.4859,31.69,99,100,9.57,1634994154
Verkhnevilyuysk,63.4453,120.3167,33.82,90,100,7.09,1634994154
Lianzhou,24.7811,112.3825,57.24,86,58,4.27,1634994155
Eyrarbakki,63.863,-21.1481,46.2,89,100,5.79,1634994155
Hūn,29.1268,15.9477,95.0,12,68,15.77,1634994155
Ulladulla,-35.35,150.4667,65.08,96,84,14.56,1634994156
Kharp,66.8014,65.8081,28.17,99,100,2.28,1634994156
Qasigiannguit,68.8193,-51.1922,21.45,94,100,6.49,1634994156
Belen,36.4891,36.2233,71.04,30,0,6.22,1634994157
Nishihara,26.1842,127.7558,72.68,56,75,10.36,1634994157
Bereznehuvate,47.3078,32.8499,62.24,48,100,7.31,1634994158
Mount Isa,-20.7333,139.5,80.37,50,100,0.0,1634993611
Nanortalik,60.1432,-45.2371,36.48,82,55,3.85,1634994158
Nanzhang,31.7765,111.8386,55.65,57,91,3.33,1634994158
Touros,-5.1989,-35.4608,86.34,57,44,13.91,1634994159
Wewak,-3.5534,143.6268,79.45,85,43,7.49,1634994159
Sur,22.5667,59.5289,84.13,57,0,7.16,1634994160
Lompoc,34.6391,-120.4579,58.37,86,1,13.0,1634994089
Port Macquarie,-31.4333,152.9167,70.9,100,75,8.05,1634993347
Mount Gambier,-37.8333,140.7667,46.31,93,5,6.91,1634993362
Kupang,-10.1667,123.5833,80.55,78,97,2.33,1634994011
Price,39.5994,-110.8107,43.72,51,100,1.03,1634994162
Asău,46.4333,26.4,64.76,41,3,12.8,1634994163
Ixtapa,20.7,-105.2,79.83,89,75,2.3,1634994163
Cabo San Lucas,22.8909,-109.9124,78.51,82,1,8.05,1634994047
Santarém,-2.4431,-54.7083,75.33,100,90,12.66,1634994054
Vila Velha,-20.3297,-40.2925,78.75,65,40,5.75,1634993456
Prince Rupert,54.3161,-130.3201,43.84,87,100,9.93,1634994164
Prieska,-29.6641,22.7474,55.78,62,100,19.46,1634993639
Bairiki Village,1.3292,172.9752,81.01,71,99,9.13,1634994164
Richards Bay,-28.783,32.0377,85.32,52,28,16.37,1634993585
Nemuro,43.3236,145.575,47.1,71,79,14.67,1634994169
Aykhal,66.0,111.5,24.48,90,86,20.2,1634994169
Shadrinsk,56.0852,63.6335,48.33,73,9,17.07,1634994170
Mozarlândia,-14.7447,-50.5706,88.86,48,100,8.57,1634994170
Saint-Joseph,-21.3667,55.6167,79.47,83,57,3.31,1634994170
Kamina,-8.7386,24.9906,80.85,50,100,3.65,1634994171
Kerikeri,-35.2268,173.9474,60.91,98,100,15.99,1634993974
Grand-Lahou,5.1367,-5.0242,82.58,73,82,6.76,1634994171
São Geraldo do Araguaia,-6.4006,-48.555,82.9,73,100,3.65,1634994171
Grindavik,63.8424,-22.4338,48.15,93,75,17.27,1634993654
San Ignacio,17.1561,-89.0714,73.18,98,97,1.23,1634994172
Kindu,-2.95,25.95,92.57,42,68,1.3,1634994172
Tarakan,3.3,117.6333,80.62,76,100,3.13,1634994173
Midland,31.9974,-102.0779,65.75,88,40,9.22,1634993893
Geilo,60.5333,8.2076,38.7,58,100,4.36,1634994173
Lenoir City,35.7973,-84.256,50.88,97,0,2.04,1634994174
Duluth,46.7833,-92.1066,37.29,91,1,3.0,1634993995
Hambantota,6.1241,81.1185,82.74,83,20,9.22,1634994174
Aden,12.7794,45.0367,85.14,62,7,11.12,1634994175
Acapulco de Juárez,16.8634,-99.8901,73.22,100,90,11.5,1634993549
